,method,split,explanation,explanation_inv,model_accuracy,explanation_accuracy,explanation_accuracy_inv,elapsed_time,elapsed_time_inv
0,General,0,has_bill_shape_hooked_seabird & has_breast_pattern_solid & has_eye_color_black & has_bill_length_about_the_same_as_head & has_belly_pattern_solid & has_wing_pattern_solid & ~has_upperparts_color_grey & ~has_upperparts_color_black & ~has_back_color_white & ~has_head_pattern_capped & ~has_breast_color_white & ~has_bill_length_shorter_than_head & ~has_nape_color_buff & ~has_wing_shape_roundedwings & ~has_size_small_5__9_in & ~has_shape_perchinglike & ~has_primary_color_grey & ~has_bill_color_black,has_bill_shape_hooked_seabird & has_upperparts_color_black & has_breast_pattern_solid & has_breast_color_white & has_eye_color_black & has_bill_length_about_the_same_as_head & has_forehead_color_white & has_belly_pattern_solid & has_wing_pattern_solid & ~has_upperparts_color_grey & ~has_underparts_color_buff & ~has_back_color_white & ~has_head_pattern_capped & ~has_bill_length_shorter_than_head & ~has_nape_color_buff & ~has_wing_shape_roundedwings & ~has_size_small_5__9_in & ~has_shape_perchinglike & ~has_primary_color_grey & ~has_bill_color_black,87.51276259859851,75.29464990344071,75.29464990344071,0.08168020248413085,0.08168020248413085
1,General,1,has_bill_shape_hooked_seabird & has_breast_pattern_solid & ~has_bill_shape_cone & ~has_upperparts_color_black & ~has_underparts_color_white & ~has_bill_length_shorter_than_head & ~has_bill_color_black,has_bill_shape_hooked_seabird & has_underparts_color_white & has_breast_pattern_solid & has_forehead_color_white & has_belly_pattern_solid & ~has_bill_shape_cone & ~has_head_pattern_capped & ~has_bill_length_shorter_than_head & ~has_wing_shape_roundedwings & ~has_size_small_5__9_in & ~has_shape_perchinglike & ~has_bill_color_black,87.04115952958665,70.22995621782859,70.22995621782859,0.05947420954704285,0.05947420954704285
2,General,2,,has_bill_shape_hooked_seabird & has_underparts_color_white & has_breast_pattern_solid & has_eye_color_black & has_bill_length_about_the_same_as_head & has_belly_pattern_solid & has_wing_pattern_solid & ~has_bill_shape_cone & ~has_breast_pattern_striped & ~has_bill_length_shorter_than_head & ~has_nape_color_buff & ~has_wing_shape_roundedwings & ~has_size_small_5__9_in & ~has_shape_perchinglike & ~has_primary_color_grey & ~has_bill_color_black,87.38137891520245,72.09180945873986,72.09180945873986,0.06739740848541259,0.06739740848541259
3,General,3,has_bill_shape_hooked_seabird & has_breast_pattern_solid & has_eye_color_black & has_belly_pattern_solid & ~has_bill_shape_cone & ~has_underparts_color_white & ~has_breast_pattern_multicolored & ~has_upper_tail_color_white & ~has_head_pattern_capped & ~has_bill_length_shorter_than_head & ~has_wing_shape_roundedwings & ~has_size_small_5__9_in & ~has_shape_perchinglike & ~has_leg_color_black,has_bill_shape_hooked_seabird & has_breast_pattern_solid & has_eye_color_black & has_belly_pattern_solid & ~has_bill_shape_cone & ~has_breast_pattern_multicolored & ~has_head_pattern_capped & ~has_bill_length_shorter_than_head & ~has_wing_shape_roundedwings & ~has_size_small_5__9_in & ~has_shape_perchinglike & ~has_leg_color_black,88.59873855896875,71.95378636347513,71.95378636347513,0.06259664297103881,0.06259664297103881
4,General,4,has_bill_shape_hooked_seabird & has_breast_pattern_solid & has_eye_color_black & has_size_medium_9__16_in & has_belly_pattern_solid & ~has_bill_shape_allpurpose & ~has_wing_color_black & ~has_underparts_color_brown & ~has_underparts_color_white & ~has_head_pattern_plain & ~has_bill_length_shorter_than_head & ~has_under_tail_color_yellow & ~has_wing_shape_roundedwings & ~has_size_small_5__9_in & ~has_shape_perchinglike & ~has_bill_color_black,has_bill_shape_hooked_seabird & has_breast_pattern_solid & has_eye_color_black & has_belly_pattern_solid & ~has_bill_shape_allpurpose & ~has_bill_length_shorter_than_head & ~has_wing_shape_roundedwings & ~has_size_small_5__9_in & ~has_size_medium_9__16_in & ~has_shape_perchinglike & ~has_bill_color_black,87.2643981018981,76.25392755068592,76.25392755068592,0.06491850018501281,0.06491850018501281
5,General,5,has_bill_shape_hooked_seabird & has_breast_pattern_solid & has_eye_color_black & has_belly_pattern_solid & ~has_bill_shape_cone & ~has_upperparts_color_black & ~has_underparts_color_white & ~has_bill_length_shorter_than_head & ~has_under_tail_color_black & ~has_wing_shape_roundedwings & ~has_size_small_5__9_in & ~has_shape_perchinglike & ~has_leg_color_grey & ~has_bill_color_black,has_bill_shape_hooked_seabird & has_underparts_color_white & has_breast_pattern_solid & has_eye_color_black & has_belly_pattern_solid & ~has_bill_shape_cone & ~has_bill_length_shorter_than_head & ~has_wing_shape_roundedwings & ~has_size_small_5__9_in & ~has_shape_perchinglike & ~has_leg_color_grey & ~has_bill_color_grey & ~has_bill_color_black,88.57877367730308,85.0055834292846,85.0055834292846,0.08535929560661316,0.08535929560661316
6,General,6,,has_wing_color_black & has_underparts_color_white & has_breast_pattern_solid & has_eye_color_black & ~has_bill_shape_cone & ~has_head_pattern_capped & ~has_bill_length_shorter_than_head & ~has_wing_shape_roundedwings & ~has_shape_perchinglike & ~has_leg_color_grey,88.80918174962292,77.54157114398166,77.54157114398166,0.0652103841304779,0.0652103841304779
7,General,7,,has_bill_shape_hooked_seabird & has_underparts_color_white & has_breast_pattern_solid & has_belly_pattern_solid & ~has_throat_color_black & ~has_bill_length_shorter_than_head & ~has_size_small_5__9_in & ~has_size_medium_9__16_in & ~has_shape_perchinglike & ~has_leg_color_black & ~has_bill_color_black,87.13141012754015,71.34477504500823,71.34477504500823,0.0802709400653839,0.0802709400653839
8,General,8,has_bill_shape_hooked_seabird & has_breast_pattern_solid & has_eye_color_black & has_belly_pattern_solid & ~has_bill_shape_cone & ~has_underparts_color_white & ~has_throat_color_black & ~has_bill_length_shorter_than_head & ~has_belly_color_black & ~has_size_small_5__9_in & ~has_shape_perchinglike & ~has_tail_pattern_solid & ~has_primary_color_grey & ~has_bill_color_black,has_bill_shape_hooked_seabird & has_underparts_color_white & has_breast_pattern_solid & has_eye_color_black & has_belly_pattern_solid & has_wing_pattern_solid & ~has_bill_shape_cone & ~has_throat_color_black & ~has_bill_length_shorter_than_head & ~has_size_small_5__9_in & ~has_shape_perchinglike & ~has_primary_color_grey & ~has_bill_color_black,87.06506393932864,79.89737215431617,79.89737215431617,0.06915970087051392,0.06915970087051392
9,General,9,has_bill_shape_hooked_seabird & has_breast_pattern_solid & has_eye_color_black & has_bill_length_about_the_same_as_head & has_belly_pattern_solid & has_wing_pattern_solid & ~has_bill_shape_cone & ~has_upperparts_color_black & ~has_underparts_color_white & ~has_head_pattern_capped & ~has_forehead_color_yellow & ~has_wing_shape_roundedwings & ~has_size_small_5__9_in & ~has_shape_perchinglike & ~has_bill_color_black & ~has_wing_pattern_striped,has_bill_shape_hooked_seabird & has_breast_pattern_solid & has_eye_color_black & has_bill_length_about_the_same_as_head & has_belly_pattern_solid & has_wing_pattern_solid & ~has_bill_shape_cone & ~has_head_pattern_capped & ~has_forehead_color_yellow & ~has_wing_shape_roundedwings & ~has_size_small_5__9_in & ~has_shape_perchinglike & ~has_bill_color_black & ~has_wing_pattern_striped,89.30217520267828,82.37334792285063,82.37334792285063,0.07460788607597352,0.07460788607597352
