,method,split,explanation,explanation_inv,model_accuracy,explanation_accuracy,explanation_accuracy_inv,elapsed_time,elapsed_time_inv
10,Relu,0,has_bill_shape_hooked_seabird & has_breast_pattern_solid & has_eye_color_black & has_bill_length_about_the_same_as_head & has_size_medium_9__16_in & has_back_pattern_solid & has_wing_pattern_solid & ~has_bill_shape_allpurpose & ~has_bill_shape_cone & ~has_wing_color_black & ~has_wing_color_white & ~has_upperparts_color_black & ~has_underparts_color_black & ~has_breast_pattern_multicolored & ~has_tail_shape_notched_tail & ~has_upper_tail_color_brown & ~has_upper_tail_color_grey & ~has_upper_tail_color_black & ~has_head_pattern_plain & ~has_bill_length_shorter_than_head & ~has_under_tail_color_black & ~has_nape_color_buff & ~has_belly_color_grey & ~has_wing_shape_roundedwings & ~has_size_small_5__9_in & ~has_size_very_small_3__5_in & ~has_shape_perchinglike & ~has_leg_color_grey & ~has_leg_color_black & ~has_leg_color_buff & ~has_bill_color_grey & ~has_bill_color_black & ~has_crown_color_black & ~has_wing_pattern_striped & ~has_wing_pattern_multicolored,has_bill_shape_hooked_seabird & has_wing_color_black & has_upperparts_color_black & has_breast_pattern_solid & has_eye_color_black & has_bill_length_about_the_same_as_head & has_under_tail_color_black & has_back_pattern_solid & has_tail_pattern_solid & has_wing_pattern_solid & ~has_bill_shape_allpurpose & ~has_bill_shape_cone & ~has_wing_color_white & ~has_tail_shape_notched_tail & ~has_upper_tail_color_grey & ~has_head_pattern_plain & ~has_throat_color_black & ~has_forehead_color_red & ~has_under_tail_color_brown & ~has_under_tail_color_yellow & ~has_nape_color_buff & ~has_wing_shape_roundedwings & ~has_size_small_5__9_in & ~has_size_medium_9__16_in & ~has_size_very_small_3__5_in & ~has_shape_perchinglike & ~has_back_pattern_multicolored & ~has_leg_color_grey & ~has_leg_color_black & ~has_leg_color_buff & ~has_bill_color_grey & ~has_bill_color_black & ~has_crown_color_black & ~has_wing_pattern_striped & ~has_wing_pattern_multicolored,91.20879120879121,91.90322190203906,91.90322190203906,0.09575361013412476,0.09575361013412476
11,Relu,1,has_bill_shape_hooked_seabird & has_breast_pattern_solid & has_eye_color_black & has_bill_length_about_the_same_as_head & has_size_medium_9__16_in & has_back_pattern_solid & has_belly_pattern_solid & has_wing_pattern_solid & ~has_bill_shape_allpurpose & ~has_wing_color_black & ~has_wing_color_white & ~has_upperparts_color_black & ~has_underparts_color_black & ~has_breast_pattern_striped & ~has_tail_shape_notched_tail & ~has_upper_tail_color_grey & ~has_upper_tail_color_black & ~has_head_pattern_plain & ~has_forehead_color_yellow & ~has_under_tail_color_black & ~has_nape_color_blue & ~has_nape_color_buff & ~has_wing_shape_roundedwings & ~has_size_small_5__9_in & ~has_size_very_small_3__5_in & ~has_shape_perchinglike & ~has_tail_pattern_solid & ~has_leg_color_grey & ~has_leg_color_black & ~has_leg_color_buff & ~has_bill_color_grey & ~has_bill_color_black & ~has_crown_color_black & ~has_wing_pattern_multicolored,has_bill_shape_hooked_seabird & has_wing_color_black & has_upperparts_color_black & has_breast_pattern_solid & has_bill_length_about_the_same_as_head & has_under_tail_color_black & has_back_pattern_solid & has_tail_pattern_solid & has_belly_pattern_solid & has_wing_pattern_solid & ~has_bill_shape_allpurpose & ~has_wing_color_white & ~has_tail_shape_notched_tail & ~has_upper_tail_color_grey & ~has_head_pattern_plain & ~has_nape_color_buff & ~has_wing_shape_roundedwings & ~has_size_small_5__9_in & ~has_shape_perchinglike & ~has_leg_color_grey & ~has_leg_color_black & ~has_bill_color_black & ~has_wing_pattern_multicolored,93.23753169907016,94.22650780776395,94.22650780776395,0.08718652367591857,0.08718652367591857
12,Relu,2,has_breast_pattern_solid & has_bill_length_about_the_same_as_head & has_size_medium_9__16_in & has_back_pattern_solid & has_wing_pattern_solid & ~has_bill_shape_allpurpose & ~has_wing_color_black & ~has_upperparts_color_black & ~has_tail_shape_notched_tail & ~has_upper_tail_color_grey & ~has_head_pattern_plain & ~has_under_tail_color_black & ~has_nape_color_blue & ~has_nape_color_buff & ~has_wing_shape_roundedwings & ~has_size_very_small_3__5_in & ~has_shape_perchinglike & ~has_tail_pattern_solid & ~has_primary_color_brown & ~has_leg_color_grey & ~has_leg_color_black & ~has_leg_color_buff & ~has_bill_color_grey & ~has_bill_color_black & ~has_crown_color_black & ~has_wing_pattern_multicolored,has_bill_shape_hooked_seabird & has_wing_color_black & has_upperparts_color_black & has_breast_pattern_solid & has_bill_length_about_the_same_as_head & has_under_tail_color_black & has_belly_color_white & has_back_pattern_solid & has_tail_pattern_solid & has_wing_pattern_solid & ~has_bill_shape_allpurpose & ~has_wing_color_white & ~has_underparts_color_brown & ~has_tail_shape_notched_tail & ~has_upper_tail_color_grey & ~has_head_pattern_plain & ~has_nape_color_blue & ~has_nape_color_buff & ~has_wing_shape_roundedwings & ~has_size_small_5__9_in & ~has_size_medium_9__16_in & ~has_size_very_small_3__5_in & ~has_shape_perchinglike & ~has_primary_color_brown & ~has_leg_color_grey & ~has_leg_color_black & ~has_leg_color_buff & ~has_bill_color_grey & ~has_bill_color_black & ~has_crown_color_black & ~has_wing_pattern_multicolored,91.80050718512257,94.99195858253631,94.99195858253631,0.08323028802871704,0.08323028802871704
13,Relu,3,has_bill_shape_hooked_seabird & has_breast_pattern_solid & has_eye_color_black & has_bill_length_about_the_same_as_head & has_size_medium_9__16_in & has_back_pattern_solid & has_wing_pattern_solid & ~has_bill_shape_allpurpose & ~has_bill_shape_cone & ~has_wing_color_black & ~has_wing_color_white & ~has_upperparts_color_grey & ~has_upperparts_color_black & ~has_underparts_color_black & ~has_breast_pattern_multicolored & ~has_back_color_grey & ~has_tail_shape_notched_tail & ~has_upper_tail_color_brown & ~has_upper_tail_color_grey & ~has_upper_tail_color_black & ~has_head_pattern_plain & ~has_throat_color_black & ~has_forehead_color_yellow & ~has_under_tail_color_black & ~has_nape_color_blue & ~has_nape_color_grey & ~has_nape_color_black & ~has_nape_color_buff & ~has_wing_shape_roundedwings & ~has_size_small_5__9_in & ~has_size_very_small_3__5_in & ~has_shape_perchinglike & ~has_tail_pattern_solid & ~has_leg_color_grey & ~has_leg_color_black & ~has_leg_color_buff & ~has_bill_color_grey & ~has_bill_color_black & ~has_crown_color_black & ~has_wing_pattern_multicolored,has_bill_shape_hooked_seabird & has_wing_color_black & has_upperparts_color_black & has_breast_pattern_solid & has_bill_length_about_the_same_as_head & has_forehead_color_white & has_under_tail_color_black & has_back_pattern_solid & has_wing_pattern_solid & ~has_bill_shape_allpurpose & ~has_bill_shape_cone & ~has_wing_color_white & ~has_upperparts_color_grey & ~has_upperparts_color_buff & ~has_underparts_color_black & ~has_back_color_grey & ~has_tail_shape_notched_tail & ~has_upper_tail_color_grey & ~has_head_pattern_plain & ~has_bill_length_shorter_than_head & ~has_nape_color_blue & ~has_nape_color_grey & ~has_nape_color_black & ~has_nape_color_buff & ~has_wing_shape_roundedwings & ~has_size_small_5__9_in & ~has_size_medium_9__16_in & ~has_size_very_small_3__5_in & ~has_shape_perchinglike & ~has_leg_color_grey & ~has_leg_color_black & ~has_bill_color_grey & ~has_bill_color_black & ~has_crown_color_black & ~has_wing_pattern_multicolored,92.22316145393069,93.23533404678179,93.23533404678179,0.09725785613059998,0.09725785613059998
14,Relu,4,has_bill_shape_hooked_seabird & has_breast_pattern_solid & has_bill_length_about_the_same_as_head & has_size_medium_9__16_in & has_back_pattern_solid & has_wing_pattern_solid & ~has_bill_shape_allpurpose & ~has_bill_shape_cone & ~has_wing_color_white & ~has_upperparts_color_grey & ~has_upperparts_color_black & ~has_underparts_color_black & ~has_tail_shape_notched_tail & ~has_upper_tail_color_brown & ~has_upper_tail_color_grey & ~has_under_tail_color_grey & ~has_under_tail_color_black & ~has_nape_color_blue & ~has_nape_color_grey & ~has_nape_color_black & ~has_nape_color_buff & ~has_belly_color_buff & ~has_wing_shape_roundedwings & ~has_size_very_small_3__5_in & ~has_shape_perchinglike & ~has_tail_pattern_solid & ~has_primary_color_buff & ~has_leg_color_grey & ~has_leg_color_black & ~has_leg_color_buff & ~has_bill_color_black & ~has_wing_pattern_multicolored,has_bill_shape_hooked_seabird & has_wing_color_black & has_upperparts_color_black & has_breast_pattern_solid & has_bill_length_about_the_same_as_head & has_under_tail_color_black & has_belly_color_white & has_back_pattern_solid & has_tail_pattern_solid & has_wing_pattern_solid & ~has_bill_shape_allpurpose & ~has_bill_shape_cone & ~has_wing_color_white & ~has_upperparts_color_grey & ~has_underparts_color_black & ~has_tail_shape_notched_tail & ~has_upper_tail_color_brown & ~has_upper_tail_color_grey & ~has_forehead_color_black & ~has_under_tail_color_grey & ~has_nape_color_blue & ~has_nape_color_grey & ~has_nape_color_black & ~has_nape_color_buff & ~has_belly_color_buff & ~has_wing_shape_roundedwings & ~has_size_medium_9__16_in & ~has_size_very_small_3__5_in & ~has_shape_perchinglike & ~has_back_pattern_multicolored & ~has_primary_color_buff & ~has_leg_color_grey & ~has_leg_color_black & ~has_leg_color_buff & ~has_bill_color_grey & ~has_bill_color_black & ~has_wing_pattern_multicolored,91.96956889264581,93.11488350484149,93.11488350484149,0.07815401554107666,0.07815401554107666
15,Relu,5,has_bill_shape_hooked_seabird & has_breast_pattern_solid & has_eye_color_black & has_bill_length_about_the_same_as_head & has_size_medium_9__16_in & has_back_pattern_solid & has_wing_pattern_solid & ~has_bill_shape_allpurpose & ~has_bill_shape_cone & ~has_wing_color_black & ~has_upperparts_color_black & ~has_underparts_color_white & ~has_breast_pattern_multicolored & ~has_tail_shape_notched_tail & ~has_upper_tail_color_grey & ~has_head_pattern_plain & ~has_throat_color_black & ~has_throat_color_white & ~has_forehead_color_red & ~has_under_tail_color_black & ~has_nape_color_blue & ~has_nape_color_buff & ~has_belly_color_white & ~has_wing_shape_roundedwings & ~has_size_small_5__9_in & ~has_size_very_small_3__5_in & ~has_shape_perchinglike & ~has_back_pattern_multicolored & ~has_tail_pattern_solid & ~has_leg_color_grey & ~has_leg_color_black & ~has_leg_color_buff & ~has_bill_color_grey & ~has_bill_color_black & ~has_wing_pattern_striped & ~has_wing_pattern_multicolored,has_bill_shape_hooked_seabird & has_upperparts_color_black & has_breast_pattern_solid & has_throat_color_white & has_bill_length_about_the_same_as_head & has_under_tail_color_black & has_tail_pattern_solid & has_wing_pattern_solid & ~has_bill_shape_allpurpose & ~has_bill_shape_cone & ~has_tail_shape_notched_tail & ~has_upper_tail_color_grey & ~has_head_pattern_plain & ~has_nape_color_buff & ~has_wing_shape_roundedwings & ~has_size_medium_9__16_in & ~has_shape_perchinglike & ~has_leg_color_grey & ~has_leg_color_black & ~has_leg_color_buff & ~has_bill_color_grey & ~has_bill_color_black & ~has_wing_pattern_multicolored,91.96956889264581,92.12961283586922,92.12961283586922,0.07988950371742248,0.07988950371742248
16,Relu,6,has_bill_shape_hooked_seabird & has_breast_pattern_solid & has_eye_color_black & has_bill_length_about_the_same_as_head & has_size_medium_9__16_in & has_back_pattern_solid & has_wing_pattern_solid & ~has_bill_shape_allpurpose & ~has_wing_color_white & ~has_upperparts_color_black & ~has_underparts_color_black & ~has_tail_shape_notched_tail & ~has_upper_tail_color_grey & ~has_head_pattern_plain & ~has_throat_color_black & ~has_under_tail_color_grey & ~has_under_tail_color_black & ~has_nape_color_blue & ~has_nape_color_grey & ~has_nape_color_black & ~has_nape_color_buff & ~has_belly_color_grey & ~has_wing_shape_roundedwings & ~has_size_very_small_3__5_in & ~has_shape_perchinglike & ~has_leg_color_grey & ~has_leg_color_black & ~has_leg_color_buff & ~has_bill_color_grey & ~has_bill_color_black & ~has_crown_color_black & ~has_wing_pattern_striped & ~has_wing_pattern_multicolored,has_bill_shape_hooked_seabird & has_wing_color_black & has_upperparts_color_black & has_breast_pattern_solid & has_bill_length_about_the_same_as_head & has_under_tail_color_black & has_back_pattern_solid & has_tail_pattern_solid & has_wing_pattern_solid & ~has_bill_shape_allpurpose & ~has_wing_color_white & ~has_upperparts_color_grey & ~has_underparts_color_brown & ~has_tail_shape_notched_tail & ~has_upper_tail_color_grey & ~has_head_pattern_plain & ~has_under_tail_color_grey & ~has_nape_color_blue & ~has_nape_color_black & ~has_nape_color_buff & ~has_belly_color_grey & ~has_wing_shape_roundedwings & ~has_size_small_5__9_in & ~has_size_medium_9__16_in & ~has_size_very_small_3__5_in & ~has_shape_perchinglike & ~has_leg_color_grey & ~has_leg_color_black & ~has_leg_color_buff & ~has_bill_color_grey & ~has_bill_color_black & ~has_crown_color_black & ~has_wing_pattern_striped & ~has_wing_pattern_multicolored,92.13863060016905,91.08144642032025,91.08144642032025,0.08876571297645569,0.08876571297645569
17,Relu,7,has_bill_shape_hooked_seabird & has_breast_pattern_solid & has_bill_length_about_the_same_as_head & has_size_medium_9__16_in & has_back_pattern_solid & has_wing_pattern_solid & ~has_bill_shape_allpurpose & ~has_wing_color_black & ~has_wing_color_white & ~has_upperparts_color_black & ~has_breast_pattern_multicolored & ~has_tail_shape_notched_tail & ~has_upper_tail_color_grey & ~has_head_pattern_plain & ~has_head_pattern_capped & ~has_under_tail_color_black & ~has_nape_color_blue & ~has_nape_color_buff & ~has_belly_color_grey & ~has_wing_shape_roundedwings & ~has_size_very_small_3__5_in & ~has_shape_perchinglike & ~has_tail_pattern_solid & ~has_leg_color_grey & ~has_leg_color_black & ~has_leg_color_buff & ~has_bill_color_grey & ~has_bill_color_black & ~has_crown_color_black & ~has_wing_pattern_striped & ~has_wing_pattern_multicolored,has_bill_shape_hooked_seabird & has_upperparts_color_black & has_breast_pattern_solid & has_bill_length_about_the_same_as_head & has_under_tail_color_black & has_belly_color_white & has_back_pattern_solid & has_tail_pattern_solid & has_wing_pattern_solid & ~has_bill_shape_allpurpose & ~has_wing_color_white & ~has_tail_shape_notched_tail & ~has_head_pattern_plain & ~has_nape_color_blue & ~has_nape_color_buff & ~has_wing_shape_roundedwings & ~has_size_medium_9__16_in & ~has_size_very_small_3__5_in & ~has_shape_perchinglike & ~has_leg_color_grey & ~has_leg_color_black & ~has_leg_color_buff & ~has_bill_color_grey & ~has_bill_color_black & ~has_wing_pattern_striped & ~has_wing_pattern_multicolored,91.29332206255283,92.11407775497258,92.11407775497258,0.10256669759750366,0.10256669759750366
18,Relu,8,has_bill_shape_hooked_seabird & has_breast_pattern_solid & has_eye_color_black & has_bill_length_about_the_same_as_head & has_size_medium_9__16_in & has_back_pattern_solid & has_wing_pattern_solid & ~has_bill_shape_allpurpose & ~has_bill_shape_cone & ~has_wing_color_white & ~has_upperparts_color_black & ~has_tail_shape_notched_tail & ~has_upper_tail_color_grey & ~has_head_pattern_plain & ~has_bill_length_shorter_than_head & ~has_forehead_color_black & ~has_under_tail_color_black & ~has_nape_color_blue & ~has_nape_color_buff & ~has_wing_shape_roundedwings & ~has_size_very_small_3__5_in & ~has_shape_perchinglike & ~has_leg_color_grey & ~has_leg_color_black & ~has_bill_color_black & ~has_crown_color_black & ~has_wing_pattern_striped & ~has_wing_pattern_multicolored,has_bill_shape_hooked_seabird & has_wing_color_black & has_upperparts_color_black & has_breast_pattern_solid & has_bill_length_about_the_same_as_head & has_under_tail_color_black & has_back_pattern_solid & has_tail_pattern_solid & has_wing_pattern_solid & ~has_bill_shape_allpurpose & ~has_bill_shape_cone & ~has_wing_color_white & ~has_underparts_color_black & ~has_tail_shape_notched_tail & ~has_upper_tail_color_grey & ~has_head_pattern_plain & ~has_forehead_color_black & ~has_nape_color_blue & ~has_nape_color_buff & ~has_wing_shape_roundedwings & ~has_size_medium_9__16_in & ~has_size_very_small_3__5_in & ~has_shape_perchinglike & ~has_leg_color_grey & ~has_leg_color_black & ~has_bill_color_black & ~has_crown_color_black & ~has_wing_pattern_striped & ~has_wing_pattern_multicolored,92.47675401521556,92.63662715362811,92.63662715362811,0.07491116046905517,0.07491116046905517
19,Relu,9,has_bill_shape_hooked_seabird & has_breast_pattern_solid & has_eye_color_black & has_bill_length_about_the_same_as_head & has_size_medium_9__16_in & has_back_pattern_solid & has_belly_pattern_solid & has_wing_pattern_solid & ~has_bill_shape_allpurpose & ~has_bill_shape_cone & ~has_wing_color_grey & ~has_wing_color_white & ~has_upperparts_color_grey & ~has_upperparts_color_black & ~has_underparts_color_black & ~has_breast_pattern_multicolored & ~has_back_color_grey & ~has_tail_shape_notched_tail & ~has_upper_tail_color_grey & ~has_upper_tail_color_black & ~has_head_pattern_plain & ~has_throat_color_black & ~has_forehead_color_black & ~has_under_tail_color_black & ~has_nape_color_grey & ~has_nape_color_buff & ~has_belly_color_grey & ~has_wing_shape_roundedwings & ~has_size_small_5__9_in & ~has_size_very_small_3__5_in & ~has_shape_perchinglike & ~has_tail_pattern_solid & ~has_primary_color_buff & ~has_leg_color_grey & ~has_leg_color_black & ~has_leg_color_buff & ~has_bill_color_grey & ~has_bill_color_black & ~has_crown_color_black & ~has_wing_pattern_striped & ~has_wing_pattern_multicolored,has_bill_shape_hooked_seabird & has_upperparts_color_black & has_breast_pattern_solid & has_eye_color_black & has_bill_length_about_the_same_as_head & has_under_tail_color_black & has_belly_color_white & has_back_pattern_solid & has_tail_pattern_solid & has_wing_pattern_solid & ~has_bill_shape_allpurpose & ~has_bill_shape_cone & ~has_wing_color_white & ~has_underparts_color_black & ~has_breast_pattern_multicolored & ~has_tail_shape_notched_tail & ~has_upper_tail_color_grey & ~has_upper_tail_color_black & ~has_head_pattern_plain & ~has_nape_color_grey & ~has_nape_color_buff & ~has_wing_shape_roundedwings & ~has_size_small_5__9_in & ~has_size_medium_9__16_in & ~has_shape_perchinglike & ~has_leg_color_grey & ~has_leg_color_black & ~has_leg_color_buff & ~has_bill_color_grey & ~has_bill_color_black & ~has_crown_color_black & ~has_wing_pattern_striped & ~has_wing_pattern_multicolored,93.0684699915469,92.91759125094995,92.91759125094995,0.10038282752037048,0.10038282752037048
